Month,Category,CategoryID,Sales,OrderCount,ActiveUsers,AverageOrderValue,GrowthRate,ReturnRate,MarginRate
2026-01,의류,CAT001,32500000,1020,3200,31863,0.00,0.052,0.45
2026-01,가구,CAT002,28900000,680,2100,42500,0.00,0.038,0.40
2026-01,생활용품,CAT003,18200000,2520,3800,7222,0.00,0.062,0.58
2026-01,전자제품,CAT004,52100000,1050,2800,49619,0.00,0.045,0.25
2026-01,뷰티,CAT005,26400000,1850,3300,14270,0.00,0.050,0.52
2026-01,스포츠용품,CAT006,15800000,680,2200,23235,0.00,0.055,0.48
2026-01,식품,CAT007,22300000,3400,4500,6559,0.00,0.035,0.42
2026-01,도서,CAT008,12400000,1850,2400,6703,0.00,0.025,0.35
2026-01,반려동물용품,CAT009,18600000,1200,2300,15500,0.00,0.058,0.50
2026-01,개인용기기,CAT010,35800000,420,1800,85238,0.00,0.040,0.28
2026-01,건강식품,CAT011,19200000,1600,2700,12000,0.00,0.048,0.55
2026-01,악세서리,CAT012,16400000,1050,2100,15619,0.00,0.045,0.52
2026-01,주방용품,CAT013,14200000,1400,1950,10143,0.00,0.065,0.48
2026-01,침구류,CAT014,21300000,580,1600,36724,0.00,0.042,0.42
2026-01,완구,CAT015,17800000,1200,1900,14833,0.00,0.070,0.45
2026-02,의류,CAT001,36200000,1150,3600,31478,0.11,0.055,0.45
2026-02,가구,CAT002,31200000,740,2300,42162,0.08,0.040,0.40
2026-02,생활용품,CAT003,19800000,2750,4100,7200,0.09,0.064,0.58
2026-02,전자제품,CAT004,55300000,1120,3000,49384,0.06,0.047,0.25
2026-02,뷰티,CAT005,28900000,2020,3600,14307,0.09,0.052,0.52
2026-02,스포츠용품,CAT006,17200000,750,2400,22933,0.09,0.058,0.48
2026-02,식품,CAT007,24500000,3700,4800,6622,0.10,0.038,0.42
2026-02,도서,CAT008,13600000,2050,2700,6634,0.10,0.028,0.35
2026-02,반려동물용품,CAT009,20100000,1320,2500,15227,0.08,0.060,0.50
2026-02,개인용기기,CAT010,38500000,450,1950,85556,0.07,0.042,0.28
2026-02,건강식품,CAT011,20800000,1750,2900,11886,0.08,0.050,0.55
2026-02,악세서리,CAT012,17900000,1150,2300,15565,0.09,0.048,0.52
2026-02,주방용품,CAT013,15100000,1520,2100,9934,0.07,0.068,0.48
2026-02,침구류,CAT014,22800000,630,1800,36190,0.07,0.045,0.42
2026-02,완구,CAT015,19200000,1300,2050,14769,0.08,0.073,0.45
2026-03,의류,CAT001,40100000,1280,4000,31328,0.11,0.054,0.45
2026-03,가구,CAT002,35400000,850,2600,41647,0.13,0.042,0.40
2026-03,생활용품,CAT003,22400000,3100,4500,7226,0.13,0.063,0.58
2026-03,전자제품,CAT004,59800000,1250,3300,47840,0.08,0.046,0.25
2026-03,뷰티,CAT005,32100000,2250,4000,14267,0.11,0.051,0.52
2026-03,스포츠용품,CAT006,18900000,820,2700,23049,0.10,0.057,0.48
2026-03,식품,CAT007,27200000,4100,5200,6634,0.11,0.037,0.42
2026-03,도서,CAT008,15200000,2300,3000,6609,0.12,0.027,0.35
2026-03,반려동물용품,CAT009,22300000,1450,2800,15379,0.11,0.059,0.50
2026-03,개인용기기,CAT010,41200000,480,2100,85833,0.07,0.041,0.28
2026-03,건강식품,CAT011,22600000,1900,3200,11895,0.09,0.049,0.55
2026-03,악세서리,CAT012,19600000,1250,2500,15680,0.09,0.047,0.52
2026-03,주방용품,CAT013,16800000,1700,2300,9882,0.11,0.067,0.48
2026-03,침구류,CAT014,24900000,700,2000,35571,0.09,0.044,0.42
2026-03,완구,CAT015,21100000,1400,2300,15071,0.10,0.071,0.45
2026-04,의류,CAT001,43800000,1380,4300,31740,0.09,0.053,0.45
2026-04,가구,CAT002,38200000,920,2800,41522,0.08,0.041,0.40
2026-04,생활용품,CAT003,24100000,3300,4800,7303,0.08,0.062,0.58
2026-04,전자제품,CAT004,63500000,1350,3500,47037,0.06,0.045,0.25
2026-04,뷰티,CAT005,34900000,2400,4300,14542,0.09,0.050,0.52
2026-04,스포츠용품,CAT006,20200000,880,2900,22955,0.07,0.056,0.48
2026-04,식품,CAT007,29100000,4400,5600,6614,0.07,0.036,0.42
2026-04,도서,CAT008,16400000,2500,3200,6560,0.08,0.026,0.35
2026-04,반려동물용품,CAT009,24000000,1550,3000,15484,0.08,0.058,0.50
2026-04,개인용기기,CAT010,44100000,520,2300,84808,0.07,0.040,0.28
2026-04,건강식품,CAT011,24300000,2050,3400,11854,0.08,0.048,0.55
2026-04,악세서리,CAT012,21100000,1350,2700,15630,0.08,0.046,0.52
2026-04,주방용품,CAT013,18100000,1850,2500,9784,0.08,0.066,0.48
2026-04,침구류,CAT014,26500000,750,2200,35333,0.06,0.043,0.42
2026-04,완구,CAT015,22900000,1500,2500,15267,0.08,0.070,0.45
2026-05,의류,CAT001,38500000,1200,3800,32083,0.12,0.053,0.45
2026-05,가구,CAT002,33200000,800,2400,41500,0.13,0.043,0.40
2026-05,생활용품,CAT003,21000000,2850,4200,7368,0.13,0.061,0.58
2026-05,전자제품,CAT004,55600000,1150,3100,48348,0.12,0.047,0.25
2026-05,뷰티,CAT005,30200000,2100,3800,14381,0.14,0.052,0.52
2026-05,스포츠용품,CAT006,17700000,750,2500,23600,0.12,0.059,0.48
2026-05,식품,CAT007,25500000,3900,5000,6538,0.12,0.039,0.42
2026-05,도서,CAT008,14300000,2200,2900,6500,0.13,0.029,0.35
2026-05,반려동물용품,CAT009,21100000,1350,2700,15630,0.12,0.061,0.50
2026-05,개인용기기,CAT010,38700000,450,2000,86000,0.12,0.043,0.28
