Date,Category,OrderCount,Sales,Users,AverageOrderValue,Returns
2026-05-01,의류,145,2890000,320,19931,8
2026-05-01,가구,78,3120000,156,40000,3
2026-05-01,생활용품,234,1560000,412,6667,15
2026-05-01,전자제품,92,4680000,198,47347,5
2026-05-01,뷰티,167,2340000,285,14011,9
2026-05-02,의류,152,3040000,335,20000,9
2026-05-02,가구,85,3350000,168,39412,4
2026-05-02,생활용품,241,1620000,425,6717,16
2026-05-02,전자제품,98,4920000,205,50204,6
2026-05-02,뷰티,173,2450000,298,14160,10
2026-05-03,의류,138,2750000,308,19927,7
2026-05-03,가구,82,3280000,162,40370,3
2026-05-03,생활용품,228,1490000,405,6535,14
2026-05-03,전자제품,88,4380000,189,49432,4
2026-05-03,뷰티,160,2210000,275,13812,8
2026-05-04,의류,165,3290000,360,19939,10
2026-05-04,가구,90,3680000,175,40889,5
2026-05-04,생활용품,250,1680000,440,6720,17
2026-05-04,전자제품,105,5180000,220,49333,7
2026-05-04,뷰티,182,2680000,315,14725,11
2026-05-05,의류,148,2960000,330,20000,8
2026-05-05,가구,80,3160000,158,40000,3
2026-05-05,생활용품,235,1580000,415,6723,15
2026-05-05,전자제품,95,4780000,205,50316,6
2026-05-05,뷰티,170,2380000,292,14000,9
2026-05-06,의류,172,3440000,375,20000,11
2026-05-06,가구,88,3540000,172,41047,4
2026-05-06,생활용품,248,1670000,435,6734,16
2026-05-06,전자제품,110,5380000,230,48909,8
2026-05-06,뷰티,188,2750000,325,14617,12
2026-05-07,의류,155,3100000,345,20000,9
2026-05-07,가구,83,3420000,165,40727,3
2026-05-07,생활용품,240,1620000,425,6706,16
2026-05-07,전자제품,100,4950000,215,49500,6
2026-05-07,뷰티,175,2520000,302,14400,10
2026-05-08,의류,160,3200000,355,20000,10
2026-05-08,가구,86,3480000,170,40471,4
2026-05-08,생활용품,245,1650000,430,6735,16
2026-05-08,전자제품,103,5100000,222,49515,7
2026-05-08,뷰티,180,2640000,310,14737,10
