Month,Category,TotalSales,TotalOrders,ActiveUsers,AvgOrderValue,GrowthRate,ReturnRate
2026-03,의류,28500000,890,2800,32022,0.12,0.055
2026-03,가구,31200000,750,2100,41600,0.08,0.042
2026-03,생활용품,14850000,2100,3200,7071,0.15,0.065
2026-03,전자제품,47300000,920,2500,51413,0.10,0.048
2026-03,뷰티,23400000,1650,2900,14182,0.18,0.052
2026-04,의류,31200000,980,3100,31837,0.09,0.058
2026-04,가구,33800000,820,2300,41220,0.08,0.048
2026-04,생활용품,16200000,2350,3500,6894,0.09,0.068
2026-04,전자제품,51800000,1020,2800,50784,0.09,0.051
2026-04,뷰티,25600000,1800,3200,14222,0.09,0.056
2026-05,의류,24120000,760,2450,31737,0.23,0.053
2026-05,가구,26080000,634,1596,41139,0.23,0.045
2026-05,생활용품,12540000,1817,2757,6903,0.23,0.064
2026-05,전자제품,39410000,788,2159,50012,0.24,0.049
2026-05,뷰티,19850000,1395,2487,14227,0.23,0.054
